Date,PMR
08-Sep-21,796555.86
09-Sep-21,814447.35
10-Sep-21,801254.37
11-Sep-21,781590.01
12-Sep-21,807868.05
13-Sep-21,831304.35
14-Sep-21,840661.61
15-Sep-21,849278.10
16-Sep-21,860257.25
17-Sep-21,854853.36
18-Sep-21,796241.24
19-Sep-21,834595.05
20-Sep-21,902764.94
21-Sep-21,908134.96
22-Sep-21,891016.12
23-Sep-21,906821.41
24-Sep-21,888043.10
25-Sep-21,807721.99
26-Sep-21,831311.14
27-Sep-21,876931.34
28-Sep-21,915205.15
29-Sep-21,934323.82
30-Sep-21,864628.39
01-Oct-21,774106.28
02-Oct-21,687710.32
03-Oct-21,718316.38
04-Oct-21,789869.60
05-Oct-21,787827.59
06-Oct-21,822406.83
07-Oct-21,767365.20
08-Oct-21,813218.04
09-Oct-21,721826.20
10-Oct-21,751288.15
11-Oct-21,808127.65
12-Oct-21,828185.94
13-Oct-21,833414.89
14-Oct-21,861806.20
15-Oct-21,860089.64
16-Oct-21,777351.29
17-Oct-21,799269.17
18-Oct-21,871198.28
19-Oct-21,865557.37
20-Oct-21,894547.52
21-Oct-21,914665.55
22-Oct-21,900713.84
23-Oct-21,816661.30
24-Oct-21,862617.81
25-Oct-21,899148.49
26-Oct-21,923876.10
27-Oct-21,920075.44
28-Oct-21,973963.88
29-Oct-21,941824.35
30-Oct-21,867470.30
31-Oct-21,833097.50
01-Nov-21,913478.16
02-Nov-21,918648.66
03-Nov-21,902130.47
04-Nov-21,939970.01
05-Nov-21,893040.09
06-Nov-21,848932.05
07-Nov-21,893719.46
08-Nov-21,940312.69
09-Nov-21,947579.68
10-Nov-21,966186.94
11-Nov-21,980530.62
12-Nov-21,979350.96
13-Nov-21,889559.57
14-Nov-21,910968.03
15-Nov-21,983277.37
16-Nov-21,997808.08
17-Nov-21,983357.12
18-Nov-21,1036157.66
19-Nov-21,1040408.38
20-Nov-21,958984.56
21-Nov-21,986070.78
22-Nov-21,1041744.90
23-Nov-21,1071092.32
24-Nov-21,1063119.43
25-Nov-21,1007074.76
26-Nov-21,1165866.89
27-Nov-21,1099370.82
28-Nov-21,1123132.73
29-Nov-21,1266297.40
30-Nov-21,1108172.11
01-Dec-21,1021640.42
02-Dec-21,1016203.66
03-Dec-21,1005179.54
04-Dec-21,920217.12
05-Dec-21,940914.67
06-Dec-21,1010602.31
07-Dec-21,1036321.57
08-Dec-21,1022282.97
09-Dec-21,1032684.37
10-Dec-21,1078557.51
11-Dec-21,983244.22
12-Dec-21,1004199.91
13-Dec-21,1019663.50
14-Dec-21,1038214.57
15-Dec-21,1036888.57
16-Dec-21,1022625.80
17-Dec-21,1027209.71
18-Dec-21,951251.08
19-Dec-21,929589.83
20-Dec-21,963111.58
21-Dec-21,986366.66
22-Dec-21,988388.28
23-Dec-21,923589.24
24-Dec-21,848641.39
25-Dec-21,798411.45
26-Dec-21,835163.55
27-Dec-21,874493.70
28-Dec-21,879895.32
29-Dec-21,862685.21
30-Dec-21,826745.46
31-Dec-21,680130.33
01-Jan-20,240173.58
02-Jan-20,276439.50
03-Jan-20,272458.14
04-Jan-20,252534.64
05-Jan-20,263989.51
06-Jan-20,294523.75
07-Jan-20,318735.61
08-Jan-20,325469.18
09-Jan-20,332159.86
10-Jan-20,330427.62
11-Jan-20,299162.60
12-Jan-20,307653.92
13-Jan-20,340267.60
14-Jan-20,362578.83
15-Jan-20,410471.52
16-Jan-20,419600.83
17-Jan-20,385057.31
18-Jan-20,341782.17
19-Jan-20,337552.44
20-Jan-20,363621.32
21-Jan-20,380003.52
22-Jan-20,385530.64
23-Jan-20,382271.73
24-Jan-20,358197.04
25-Jan-20,327377.66
26-Jan-20,328298.17
27-Jan-20,354159.03
28-Jan-20,372718.54
29-Jan-20,385325.38
30-Jan-20,377157.23
31-Jan-20,336776.31
01-Feb-20,304243.29
02-Feb-20,308422.19
03-Feb-20,328795.88
04-Feb-20,341046.46
05-Feb-20,346190.32
06-Feb-20,344807.95
07-Feb-20,344508.34
08-Feb-20,328133.52
09-Feb-20,335125.42
10-Feb-20,367785.75
11-Feb-20,376012.32
12-Feb-20,373258.77
13-Feb-20,371631.49
14-Feb-20,359189.49
15-Feb-20,330728.75
16-Feb-20,337746.22
17-Feb-20,362920.57
18-Feb-20,367626.23
19-Feb-20,366343.90
20-Feb-20,366893.88
21-Feb-20,378281.92
22-Feb-20,347262.49
23-Feb-20,353982.81
24-Feb-20,370420.74
25-Feb-20,376807.94
26-Feb-20,372282.08
27-Feb-20,374422.67
28-Feb-20,378607.62
29-Feb-20,338778.09
01-Mar-20,339570.56
02-Mar-20,376970.84
03-Mar-20,394180.81
04-Mar-20,325011.33
05-Mar-20,375820.98
06-Mar-20,388874.10
07-Mar-20,337605.94
08-Mar-20,332803.74
